Season,Name,Team,PA,BABIP,LD,GB,FB,IFFB,GB/FB,HR/FB,IFH,IFH,BUH,BUH,O-Swing,Z-Swing,Swing,O-Contact,Z-Contact,Contact,Zone,F-Strike,SwStr,playerid
2010,Justin Upton,Diamondbacks,571,.354,19.3 ,41.4 ,39.4 ,9.5 ,1.05,12.4 ,10,6.9 ,2,66.7 ,24.0 ,61.7 ,41.5 ,54.2 ,83.3 ,74.3 ,46.6 ,56.2 ,10.2 ,5222
2002,David Justice,Athletics,471,.294,26.6 ,38.3 ,35.0 ,12.0 ,1.09,9.4 ,8,6.3 ,0,0.0 ,12.7 ,66.6 ,40.1 ,52.9 ,88.2 ,82.7 ,50.9 ,53.7 ,6.9 ,923
2006,Russell Branyan,- - -,282,.270,19.5 ,28.6 ,51.9 ,2.5 ,0.55,22.5 ,0,0.0 ,1,50.0 ,22.5 ,76.2 ,47.6 ,32.1 ,74.6 ,63.9 ,46.7 ,62.1 ,16.8 ,370
2006,Edgar Renteria,Braves,673,.324,22.5 ,46.9 ,30.6 ,8.4 ,1.53,9.1 ,14,5.9 ,1,6.3 ,20.7 ,65.4 ,44.7 ,63.0 ,89.4 ,83.8 ,53.8 ,59.9 ,7.0 ,1178
2003,Erubiel Durazo,Athletics,645,.283,21.7 ,39.3 ,39.0 ,8.8 ,1.01,12.3 ,5,2.9 ,0,0.0 ,18.4 ,64.2 ,40.1 ,43.5 ,87.6 ,76.9 ,47.3 ,51.5 ,9.1 ,1413
2012,Mike Napoli,Rangers,417,.273,19.2 ,39.7 ,41.0 ,7.4 ,0.97,25.5 ,6,6.6 ,0,0.0 ,24.0 ,60.0 ,41.1 ,62.7 ,74.7 ,71.0 ,47.5 ,52.8 ,11.5 ,3057
2011,Jay Bruce,Reds,664,.297,16.8 ,36.4 ,46.7 ,6.5 ,0.78,16.0 ,9,5.8 ,0,0.0 ,31.6 ,72.8 ,48.7 ,57.0 ,85.2 ,74.5 ,41.4 ,54.8 ,11.8 ,9892
2011,Howie Kendrick,Angels,583,.338,21.9 ,51.6 ,26.5 ,0.0 ,1.94,16.5 ,19,9.0 ,6,60.0 ,32.8 ,62.8 ,46.9 ,65.8 ,87.6 ,79.6 ,47.1 ,59.9 ,9.1 ,4229
2008,Hideki Matsui,Yankees,378,.320,18.6 ,46.9 ,34.5 ,9.0 ,1.36,9.0 ,5,3.7 ,0,0.0 ,21.1 ,65.3 ,44.3 ,68.6 ,91.1 ,86.0 ,52.6 ,59.0 ,6.0 ,1659
2011,Shelley Duncan,Indians,247,.297,17.2 ,34.3 ,48.5 ,15.9 ,0.71,13.4 ,7,12.1 ,0,0.0 ,35.3 ,63.2 ,47.4 ,67.9 ,84.1 ,77.2 ,43.3 ,56.7 ,10.8 ,3620
2012,Anthony Rizzo,Cubs,368,.310,24.4 ,45.5 ,30.2 ,7.2 ,1.51,18.1 ,7,5.6 ,0,0.0 ,38.5 ,69.1 ,50.9 ,70.2 ,90.0 ,81.1 ,40.6 ,62.8 ,9.6 ,3473
2005,Sean Casey,Reds,587,.327,18.9 ,51.6 ,29.4 ,4.9 ,1.76,6.3 ,5,2.0 ,0,0.0 ,19.3 ,64.0 ,43.6 ,70.4 ,95.7 ,90.6 ,54.3 ,57.9 ,4.1 ,314
2005,Bobby Crosby,Athletics,371,.306,18.2 ,53.9 ,27.9 ,14.1 ,1.94,11.5 ,12,7.9 ,0,0.0 ,17.2 ,58.8 ,39.2 ,49.2 ,86.8 ,79.1 ,53.0 ,59.0 ,7.9 ,1818
2007,Matt Murton,Cubs,261,.309,15.8 ,47.4 ,36.7 ,6.9 ,1.29,11.1 ,11,11.8 ,0,0.0 ,25.0 ,68.5 ,46.3 ,64.2 ,87.7 ,81.3 ,49.1 ,58.6 ,8.5 ,6307
2007,Jason Giambi,Yankees,303,.263,16.4 ,30.2 ,53.4 ,5.9 ,0.56,13.9 ,1,1.8 ,0,0.0 ,18.1 ,62.2 ,39.7 ,55.5 ,87.4 ,80.0 ,48.9 ,47.5 ,7.8 ,818
2009,Nick Markakis,Orioles,711,.317,16.6 ,42.8 ,40.6 ,6.7 ,1.05,8.0 ,18,7.6 ,0,0.0 ,23.3 ,61.0 ,41.8 ,73.2 ,92.0 ,86.6 ,48.9 ,57.1 ,5.4 ,5930
2008,Cliff Floyd,Rays,284,.302,20.2 ,50.8 ,29.0 ,1.8 ,1.75,19.6 ,7,7.1 ,0,0.0 ,28.6 ,70.4 ,48.7 ,53.0 ,83.7 ,74.3 ,48.0 ,59.2 ,12.3 ,518
2005,Trot Nixon,Red Sox,470,.289,20.3 ,39.4 ,40.3 ,9.1 ,0.98,9.1 ,7,5.0 ,0,0.0 ,13.8 ,67.4 ,40.6 ,44.1 ,90.8 ,82.9 ,50.1 ,54.5 ,6.9 ,204
2008,Ian Stewart,Rockies,304,.362,25.0 ,31.4 ,43.6 ,9.3 ,0.72,13.3 ,1,1.9 ,1,100.0 ,28.5 ,67.4 ,47.8 ,49.7 ,80.5 ,71.3 ,49.5 ,58.2 ,13.4 ,5950
2004,Michael Barrett,Cubs,506,.299,20.2 ,48.1 ,31.7 ,9.5 ,1.52,12.7 ,8,4.2 ,1,14.3 ,19.2 ,72.7 ,48.7 ,57.3 ,86.7 ,81.5 ,55.2 ,62.7 ,9.0 ,762
2002,Edgar Renteria,Cardinals,609,.322,21.8 ,47.1 ,31.1 ,7.3 ,1.51,7.3 ,21,9.3 ,9,52.9 ,17.7 ,72.0 ,48.2 ,62.7 ,89.7 ,85.3 ,56.1 ,59.1 ,7.2 ,1178
2007,Edwin Encarnacion,Reds,560,.322,18.7 ,37.9 ,43.4 ,14.9 ,0.87,8.8 ,10,6.3 ,0,0.0 ,27.8 ,73.4 ,51.3 ,57.0 ,88.8 ,80.4 ,51.6 ,58.2 ,9.8 ,2151
2002,Trot Nixon,Red Sox,612,.276,20.3 ,35.9 ,43.8 ,11.7 ,0.82,12.8 ,9,5.8 ,1,25.0 ,12.8 ,65.6 ,39.7 ,39.5 ,85.0 ,77.8 ,51.0 ,49.4 ,8.9 ,204
2009,Ryan Roberts,Diamondbacks,351,.320,19.2 ,37.6 ,43.2 ,5.6 ,0.87,6.5 ,2,2.1 ,0,0.0 ,18.0 ,66.3 ,42.4 ,67.2 ,85.8 ,81.9 ,50.5 ,59.0 ,7.5 ,5653
2005,Emil Brown,Royals,609,.326,24.5 ,41.7 ,33.8 ,10.7 ,1.23,11.3 ,5,2.7 ,0,0.0 ,19.5 ,70.7 ,47.2 ,46.2 ,85.3 ,77.9 ,54.2 ,62.6 ,10.4 ,1197
2009,Milton Bradley,Cubs,473,.310,19.7 ,46.9 ,33.3 ,8.2 ,1.41,12.2 ,12,8.7 ,3,42.9 ,19.6 ,73.2 ,44.7 ,59.6 ,81.6 ,76.5 ,46.9 ,58.8 ,10.1 ,369
2008,Ramon Vazquez,Rangers,347,.349,27.3 ,46.3 ,26.4 ,6.6 ,1.75,9.8 ,4,3.7 ,3,25.0 ,16.6 ,60.4 ,38.9 ,64.2 ,88.8 ,83.6 ,51.0 ,52.5 ,6.2 ,1058
2003,Ryan Klesko,Padres,474,.262,18.6 ,38.8 ,42.5 ,16.1 ,0.91,15.3 ,6,4.8 ,1,100.0 ,21.5 ,72.9 ,45.4 ,51.7 ,84.5 ,76.2 ,46.5 ,54.2 ,10.8 ,1041
2011,David Freese,Cardinals,363,.356,24.6 ,52.3 ,23.1 ,3.3 ,2.27,16.7 ,8,5.9 ,0,0.0 ,29.3 ,64.2 ,46.5 ,67.9 ,85.4 ,79.8 ,49.2 ,57.0 ,9.0 ,9549
2004,Craig Biggio,Astros,700,.297,23.0 ,38.8 ,38.2 ,16.7 ,1.01,11.8 ,17,8.3 ,3,15.8 ,23.6 ,73.0 ,51.7 ,55.6 ,85.8 ,79.8 ,56.8 ,62.1 ,10.3 ,549
2005,Jose Guillen,Nationals,611,.304,21.7 ,44.2 ,34.1 ,17.9 ,1.29,15.4 ,16,7.9 ,0,0.0 ,26.4 ,72.7 ,51.1 ,48.6 ,89.0 ,79.2 ,53.3 ,57.1 ,10.4 ,57
2003,Robby Hammock,Diamondbacks,216,.324,23.0 ,46.7 ,30.3 ,8.7 ,1.54,17.4 ,5,7.0 ,0,0.0 ,20.9 ,68.1 ,46.1 ,50.0 ,85.2 ,77.7 ,53.3 ,63.0 ,10.2 ,1686
2007,Randy Winn,Giants,653,.329,18.7 ,50.6 ,30.8 ,5.2 ,1.65,9.0 ,13,5.1 ,5,38.5 ,20.6 ,70.0 ,46.4 ,66.5 ,91.4 ,86.1 ,52.2 ,55.9 ,6.3 ,1235
2003,Luis Castillo,Marlins,676,.342,23.7 ,57.6 ,18.7 ,15.3 ,3.08,6.1 ,37,12.3 ,10,37.0 ,13.5 ,60.5 ,38.7 ,69.8 ,97.0 ,92.6 ,53.7 ,55.0 ,3.0 ,513
2011,Brennan Boesch,Tigers,472,.315,18.2 ,42.9 ,38.9 ,8.1 ,1.10,11.9 ,11,7.4 ,1,50.0 ,37.9 ,72.9 ,51.8 ,70.6 ,91.3 ,82.2 ,39.7 ,55.9 ,9.0 ,914
2003,Placido Polanco,Phillies,554,.288,21.1 ,50.2 ,28.6 ,6.9 ,1.75,10.8 ,9,3.9 ,0,0.0 ,19.9 ,65.2 ,43.5 ,70.0 ,96.4 ,90.7 ,52.1 ,53.4 ,4.0 ,1176
2011,Alex Presley,Pirates,231,.349,22.9 ,49.7 ,27.4 ,4.2 ,1.81,8.3 ,7,8.0 ,0,0.0 ,25.4 ,61.8 ,41.9 ,68.7 ,94.8 ,86.1 ,45.3 ,57.1 ,5.7 ,5305
2007,Luis Gonzalez,Dodgers,526,.289,18.5 ,42.2 ,39.3 ,16.1 ,1.07,9.3 ,5,2.9 ,0,0.0 ,27.2 ,70.5 ,42.8 ,77.1 ,91.7 ,85.8 ,36.1 ,53.2 ,6.0 ,55
2004,Vernon Wells,Blue Jays,590,.285,17.6 ,44.5 ,37.9 ,12.8 ,1.17,13.4 ,23,11.4 ,0,0.0 ,19.5 ,76.5 ,49.5 ,55.7 ,85.8 ,80.2 ,52.6 ,60.2 ,9.5 ,1326
2005,Jason LaRue,Reds,422,.323,22.5 ,41.2 ,36.3 ,12.6 ,1.14,14.7 ,10,9.3 ,0,0.0 ,20.8 ,76.0 ,48.6 ,38.0 ,76.9 ,68.7 ,50.3 ,60.7 ,15.1 ,337
2006,Jim Edmonds,Cardinals,408,.302,20.5 ,35.0 ,44.5 ,6.2 ,0.79,16.8 ,3,3.4 ,0,0.0 ,19.3 ,69.9 ,44.5 ,45.6 ,81.1 ,73.3 ,49.8 ,58.1 ,11.3 ,1153
2011,Ryan Zimmerman,Nationals,440,.326,15.7 ,50.5 ,33.8 ,5.5 ,1.49,10.9 ,13,7.9 ,0,0.0 ,28.4 ,54.1 ,39.5 ,71.9 ,90.5 ,82.9 ,43.1 ,56.6 ,6.5 ,4220
2003,Travis Lee,Devil Rays,613,.301,20.5 ,41.9 ,37.6 ,15.4 ,1.11,11.2 ,13,6.9 ,1,33.3 ,21.1 ,72.7 ,46.7 ,57.3 ,87.2 ,80.4 ,49.6 ,58.9 ,9.1 ,958
2006,Orlando Hudson,Diamondbacks,650,.308,18.7 ,49.4 ,31.9 ,8.8 ,1.55,9.4 ,8,3.2 ,3,42.9 ,18.9 ,68.9 ,44.8 ,70.5 ,90.1 ,86.1 ,51.8 ,57.2 ,5.9 ,1307
2002,Todd Hollandsworth,- - -,477,.332,19.0 ,51.2 ,29.8 ,6.1 ,1.72,16.2 ,12,7.1 ,2,33.3 ,23.1 ,75.5 ,51.2 ,40.0 ,85.2 ,75.7 ,53.6 ,55.6 ,12.3 ,433
2007,Michael Cuddyer,Twins,623,.315,18.7 ,45.2 ,36.2 ,13.7 ,1.25,9.9 ,23,11.4 ,0,0.0 ,27.6 ,61.9 ,44.9 ,57.7 ,89.5 ,79.8 ,50.6 ,59.1 ,8.8 ,1534
2008,Todd Helton,Rockies,361,.298,23.4 ,38.3 ,38.3 ,6.3 ,1.00,7.4 ,1,1.1 ,1,100.0 ,16.5 ,66.5 ,41.2 ,80.2 ,90.1 ,88.1 ,49.4 ,54.6 ,4.7 ,432
2012,Chris Nelson,Rockies,377,.374,25.1 ,49.8 ,25.1 ,4.5 ,1.98,13.6 ,9,6.9 ,0,0.0 ,28.7 ,69.1 ,47.6 ,65.6 ,84.8 ,78.6 ,46.7 ,54.1 ,9.9 ,8175
2009,Chris Iannetta,Rockies,350,.245,16.0 ,32.0 ,52.1 ,8.8 ,0.61,14.0 ,4,5.7 ,0,0.0 ,16.8 ,72.1 ,45.4 ,47.9 ,82.2 ,76.1 ,51.8 ,55.1 ,10.7 ,8267
2003,Joe Randa,Royals,566,.301,25.8 ,34.8 ,39.3 ,8.0 ,0.89,9.1 ,13,8.4 ,1,8.3 ,15.9 ,65.1 ,42.4 ,69.8 ,92.6 ,88.6 ,54.0 ,61.0 ,4.8 ,623
2011,Yunel Escobar,Blue Jays,590,.316,18.2 ,57.2 ,24.7 ,0.9 ,2.32,10.0 ,19,7.5 ,0,0.0 ,21.1 ,63.2 ,40.5 ,69.4 ,92.9 ,86.3 ,46.2 ,56.3 ,5.3 ,4191
2004,Todd Walker,Cubs,424,.282,25.0 ,38.0 ,37.0 ,8.3 ,1.03,12.5 ,4,3.3 ,0,0.0 ,13.9 ,72.1 ,45.7 ,65.3 ,88.9 ,85.7 ,54.7 ,50.9 ,6.4 ,359
2007,Adam LaRoche,Pirates,632,.318,20.5 ,35.7 ,43.8 ,6.3 ,0.82,11.1 ,3,1.9 ,1,100.0 ,23.4 ,68.4 ,45.0 ,52.7 ,88.3 ,78.7 ,48.1 ,60.1 ,9.4 ,1904
2009,Nate McLouth,- - -,591,.281,16.3 ,40.2 ,43.5 ,10.8 ,0.93,11.4 ,9,5.5 ,4,40.0 ,21.4 ,60.7 ,40.6 ,66.0 ,90.7 ,84.1 ,48.8 ,53.5 ,6.3 ,3190
2011,Chris Iannetta,Rockies,426,.276,20.4 ,35.4 ,44.2 ,16.5 ,0.80,12.2 ,4,4.3 ,0,0.0 ,20.1 ,68.2 ,42.5 ,57.1 ,82.9 ,76.4 ,46.7 ,57.0 ,9.7 ,8267
2007,Garret Anderson,Angels,450,.306,19.0 ,40.4 ,40.7 ,12.7 ,0.99,10.7 ,6,4.0 ,0,0.0 ,36.4 ,73.0 ,50.3 ,66.6 ,93.8 ,81.6 ,38.0 ,60.2 ,8.9 ,2
2011,Chipper Jones,Braves,512,.295,15.7 ,49.3 ,34.9 ,3.0 ,1.41,13.5 ,8,4.3 ,0,0.0 ,25.4 ,71.4 ,44.9 ,67.8 ,88.7 ,81.9 ,42.4 ,54.5 ,7.8 ,97
2003,Orlando Cabrera,Expos,691,.305,22.0 ,39.6 ,38.4 ,16.5 ,1.03,7.8 ,16,7.1 ,2,33.3 ,26.9 ,71.2 ,49.3 ,66.2 ,90.2 ,83.7 ,50.6 ,59.9 ,8.0 ,766
2002,Brian Jordan,Dodgers,515,.313,21.1 ,41.9 ,37.0 ,13.9 ,1.13,12.5 ,13,8.0 ,0,0.0 ,24.9 ,78.4 ,53.8 ,44.9 ,86.6 ,77.7 ,54.0 ,59.0 ,11.9 ,658
2005,Tony Graffanino,- - -,417,.342,22.1 ,50.0 ,27.9 ,15.4 ,1.79,7.7 ,15,9.2 ,2,40.0 ,16.4 ,62.6 ,42.6 ,52.9 ,92.9 ,86.2 ,56.5 ,58.8 ,5.8 ,235
2011,Freddie Freeman,Braves,635,.339,23.0 ,42.4 ,34.6 ,4.7 ,1.23,14.0 ,10,5.4 ,0,0.0 ,36.8 ,76.4 ,52.2 ,66.1 ,86.0 ,77.4 ,38.8 ,60.2 ,11.5 ,5361
2002,Johnny Damon,Red Sox,702,.301,21.6 ,44.4 ,34.0 ,19.3 ,1.30,7.5 ,25,10.2 ,6,54.5 ,18.0 ,69.0 ,46.4 ,60.5 ,91.4 ,86.1 ,55.8 ,51.7 ,6.5 ,185
2003,Wil Cordero,Expos,492,.315,23.2 ,38.4 ,38.4 ,11.9 ,1.00,11.9 ,10,7.5 ,0,0.0 ,23.3 ,67.9 ,45.6 ,59.1 ,85.6 ,78.8 ,49.9 ,59.2 ,9.6 ,770
2004,Carlos Pena,Tigers,562,.284,16.5 ,39.8 ,43.7 ,5.4 ,0.91,18.2 ,3,2.2 ,1,33.3 ,15.9 ,72.7 ,45.4 ,39.9 ,79.1 ,72.5 ,52.0 ,59.6 ,13.0 ,934
2005,Alfonso Soriano,Rangers,682,.281,19.2 ,33.7 ,47.1 ,4.5 ,0.72,14.8 ,15,8.6 ,1,100.0 ,28.8 ,75.9 ,53.7 ,43.5 ,88.2 ,76.9 ,52.9 ,60.7 ,12.7 ,847
2010,Bobby Abreu,Angels,667,.296,16.6 ,47.3 ,36.1 ,3.1 ,1.31,12.4 ,12,5.7 ,0,0.0 ,18.1 ,50.9 ,32.9 ,67.6 ,89.7 ,83.1 ,45.3 ,55.8 ,5.4 ,945
2007,J.D. Drew,Red Sox,552,.319,17.7 ,45.7 ,36.6 ,11.0 ,1.25,8.1 ,5,2.9 ,0,0.0 ,16.9 ,66.3 ,41.5 ,49.2 ,86.4 ,78.8 ,49.8 ,54.2 ,8.6 ,1152
2002,Ichiro Suzuki,Mariners,728,.344,23.6 ,55.1 ,21.3 ,8.9 ,2.59,6.5 ,41,12.9 ,9,56.3 ,20.0 ,72.3 ,48.0 ,63.7 ,94.3 ,88.4 ,53.5 ,51.9 ,5.6 ,1101
2004,Todd Greene,Rockies,209,.304,15.2 ,34.2 ,50.6 ,28.8 ,0.68,12.5 ,1,1.9 ,0,0.0 ,28.2 ,82.9 ,59.0 ,30.1 ,77.5 ,67.6 ,56.3 ,58.9 ,18.0 ,1450
2002,Mark McLemore,Mariners,407,.310,29.7 ,38.8 ,31.5 ,8.1 ,1.23,8.1 ,5,4.7 ,3,33.3 ,9.0 ,62.2 ,35.7 ,42.5 ,84.7 ,79.4 ,50.2 ,53.1 ,7.3 ,1088
2009,Mike Lowell,Red Sox,484,.301,20.8 ,38.6 ,40.6 ,12.0 ,0.95,10.8 ,6,4.0 ,0,0.0 ,26.6 ,61.9 ,44.0 ,74.5 ,94.3 ,88.2 ,49.3 ,59.5 ,5.1 ,527
2008,Kelly Johnson,Braves,614,.340,24.7 ,38.8 ,36.5 ,7.6 ,1.06,7.6 ,8,4.8 ,4,28.6 ,25.6 ,68.0 ,46.9 ,59.1 ,88.9 ,80.8 ,50.2 ,58.6 ,8.9 ,2234
2008,Jhonny Peralta,Indians,664,.312,20.2 ,43.6 ,36.2 ,6.3 ,1.21,13.1 ,10,4.7 ,0,0.0 ,28.0 ,73.0 ,50.9 ,58.0 ,86.1 ,78.5 ,50.7 ,53.9 ,10.6 ,1738
2003,Travis Hafner,Indians,324,.305,22.3 ,42.7 ,35.1 ,10.8 ,1.22,18.9 ,2,2.2 ,0,0.0 ,22.6 ,70.1 ,47.2 ,42.0 ,79.7 ,71.0 ,51.8 ,57.1 ,13.6 ,1573
2008,Jason Kubel,Twins,517,.295,19.5 ,39.8 ,40.6 ,5.2 ,0.98,13.0 ,6,4.0 ,0,0.0 ,22.6 ,64.5 ,43.5 ,61.1 ,87.7 ,80.8 ,49.9 ,55.7 ,8.3 ,2161
2004,Matt Lawton,Indians,680,.293,18.6 ,48.1 ,33.3 ,9.4 ,1.45,11.8 ,11,4.5 ,0,0.0 ,11.5 ,68.5 ,42.4 ,49.2 ,88.4 ,83.5 ,54.2 ,55.7 ,6.9 ,390
2004,Bernie Williams,Yankees,651,.281,18.7 ,43.8 ,37.6 ,11.4 ,1.17,12.6 ,10,4.9 ,0,0.0 ,12.0 ,64.0 ,38.1 ,53.9 ,87.0 ,81.8 ,50.2 ,53.8 ,6.7 ,857
2012,Derek Jeter,Yankees,740,.347,21.7 ,62.5 ,15.9 ,3.2 ,3.94,16.1 ,30,8.2 ,5,35.7 ,31.1 ,73.2 ,50.0 ,73.3 ,90.4 ,84.5 ,44.9 ,60.5 ,7.5 ,826
2010,Casey McGehee,Brewers,670,.306,16.9 ,47.5 ,35.7 ,9.2 ,1.33,12.5 ,12,4.9 ,0,0.0 ,29.5 ,67.2 ,47.0 ,76.7 ,87.5 ,83.9 ,46.5 ,59.3 ,7.4 ,6086
2006,Chris Shelton,Tigers,412,.343,19.9 ,32.6 ,47.6 ,10.2 ,0.69,12.6 ,4,4.6 ,0,0.0 ,23.0 ,63.8 ,44.2 ,44.6 ,83.3 ,73.7 ,51.9 ,54.4 ,11.1 ,1891
2003,Troy Glaus,Angels,367,.273,22.7 ,34.4 ,42.9 ,16.0 ,0.80,15.1 ,2,2.4 ,0,0.0 ,19.2 ,68.1 ,43.7 ,39.4 ,81.5 ,72.3 ,50.0 ,53.4 ,12.1 ,15
2009,Maicer Izturis,Angels,437,.313,18.8 ,42.7 ,38.5 ,11.9 ,1.11,5.9 ,6,4.0 ,2,40.0 ,22.6 ,59.9 ,41.4 ,73.5 ,94.3 ,88.6 ,50.4 ,51.5 ,4.7 ,2437
2010,J.D. Drew,Red Sox,546,.282,16.5 ,44.4 ,39.1 ,9.5 ,1.14,15.0 ,8,4.8 ,1,100.0 ,20.6 ,58.6 ,38.3 ,70.2 ,87.8 ,82.7 ,46.6 ,57.3 ,6.5 ,1152
2010,Jon Jay,Cardinals,323,.350,19.0 ,49.4 ,31.6 ,5.5 ,1.56,5.5 ,9,7.9 ,3,20.0 ,28.9 ,61.3 ,43.1 ,70.4 ,93.8 ,84.9 ,43.6 ,53.9 ,6.0 ,5227
2010,Lance Berkman,- - -,481,.282,16.0 ,47.6 ,36.4 ,15.5 ,1.31,12.1 ,6,3.9 ,0,0.0 ,20.9 ,66.4 ,41.1 ,58.1 ,88.5 ,79.9 ,44.4 ,58.6 ,7.9 ,548
2004,Eric Valent,Mets,300,.299,20.5 ,41.9 ,37.6 ,17.7 ,1.11,16.5 ,5,5.7 ,0,0.0 ,13.8 ,69.5 ,45.4 ,51.6 ,84.2 ,79.9 ,56.8 ,65.0 ,8.8 ,1629
2004,Dmitri Young,Tigers,432,.289,21.1 ,44.7 ,34.2 ,10.0 ,1.31,16.4 ,1,0.7 ,0,0.0 ,22.5 ,84.2 ,56.9 ,51.1 ,85.4 ,79.4 ,55.7 ,61.3 ,12.1 ,505
2002,Mike Lieberthal,Phillies,530,.291,22.0 ,36.8 ,41.3 ,15.0 ,0.89,8.7 ,7,4.5 ,0,0.0 ,19.4 ,75.7 ,50.7 ,46.3 ,88.7 ,81.5 ,55.6 ,55.5 ,9.4 ,959
2007,Xavier Nady,Pirates,470,.318,21.3 ,38.6 ,40.1 ,8.2 ,0.96,14.9 ,5,3.9 ,0,0.0 ,30.2 ,70.5 ,51.0 ,56.0 ,83.2 ,75.4 ,51.6 ,60.9 ,12.3 ,1658
2003,Mark Teixeira,Rangers,589,.288,28.2 ,36.3 ,35.5 ,15.8 ,1.02,17.8 ,10,6.7 ,0,0.0 ,23.8 ,74.6 ,49.2 ,37.7 ,87.8 ,75.6 ,49.9 ,57.6 ,11.9 ,1281
2009,Jermaine Dye,White Sox,574,.268,16.9 ,39.5 ,43.6 ,12.7 ,0.91,15.6 ,3,1.9 ,0,0.0 ,24.3 ,63.4 ,43.3 ,66.8 ,88.2 ,82.0 ,48.8 ,52.8 ,7.7 ,911
2008,Casey Blake,- - -,601,.316,22.1 ,37.6 ,40.2 ,6.5 ,0.93,12.4 ,10,6.3 ,0,0.0 ,26.5 ,58.4 ,42.9 ,64.7 ,86.7 ,80.1 ,51.4 ,59.1 ,8.1 ,719
2008,Chris Snyder,Diamondbacks,404,.284,18.2 ,38.1 ,43.6 ,14.6 ,0.87,15.5 ,4,4.4 ,0,0.0 ,18.0 ,55.0 ,36.6 ,47.7 ,86.6 ,77.1 ,50.4 ,57.2 ,8.3 ,4606
2006,Jamey Carroll,Rockies,534,.339,22.7 ,48.7 ,28.5 ,10.6 ,1.71,4.4 ,14,7.3 ,0,0.0 ,14.2 ,55.4 ,38.2 ,72.9 ,94.9 ,91.5 ,58.3 ,58.1 ,3.2 ,1591
2005,Jason Lane,Astros,561,.286,19.2 ,29.5 ,51.3 ,10.3 ,0.57,12.1 ,4,3.3 ,0,0.0 ,23.3 ,75.7 ,51.6 ,48.8 ,85.0 ,77.5 ,54.0 ,59.5 ,11.5 ,1397
2003,Brian Jordan,Dodgers,253,.321,18.4 ,51.0 ,30.6 ,13.3 ,1.67,10.0 ,8,8.0 ,0,0.0 ,24.3 ,75.4 ,51.8 ,51.0 ,86.9 ,79.1 ,53.7 ,58.1 ,10.8 ,658
2004,Jimmy Rollins,Phillies,725,.308,21.2 ,43.0 ,35.8 ,10.3 ,1.20,6.9 ,18,7.3 ,10,45.5 ,17.5 ,69.9 ,46.7 ,70.2 ,91.3 ,87.8 ,55.7 ,57.8 ,5.8 ,971
2005,Julio Franco,Braves,265,.324,21.3 ,56.7 ,21.9 ,2.6 ,2.59,23.1 ,6,5.9 ,1,50.0 ,23.0 ,67.6 ,45.8 ,47.9 ,85.0 ,75.9 ,51.2 ,54.3 ,10.8 ,87
2011,Jeff Francoeur,Royals,656,.323,19.9 ,40.2 ,40.0 ,12.3 ,1.01,10.3 ,14,7.1 ,0,0.0 ,41.2 ,74.2 ,55.5 ,73.3 ,84.7 ,79.9 ,43.4 ,64.3 ,10.8 ,4792
2007,Miguel Tejada,Orioles,569,.302,17.0 ,52.2 ,30.9 ,9.9 ,1.69,12.7 ,12,5.0 ,0,0.0 ,28.4 ,67.9 ,48.1 ,70.7 ,92.2 ,85.9 ,49.9 ,54.3 ,6.6 ,941
2004,Keith Ginter,Brewers,437,.303,20.8 ,37.8 ,41.3 ,10.9 ,0.92,16.0 ,10,9.2 ,1,16.7 ,13.6 ,60.8 ,39.6 ,48.4 ,84.3 ,78.7 ,55.0 ,55.2 ,8.6 ,1500
2009,Marlon Byrd,Rangers,599,.308,18.7 ,40.5 ,40.7 ,7.0 ,0.99,10.7 ,15,8.1 ,0,0.0 ,28.8 ,74.1 ,51.7 ,58.6 ,87.7 ,79.7 ,50.6 ,62.3 ,10.3 ,950
2007,Kenny Lofton,- - -,559,.316,19.5 ,39.2 ,41.3 ,8.9 ,0.95,3.9 ,11,6.4 ,8,57.1 ,15.7 ,66.1 ,41.1 ,80.6 ,93.7 ,91.2 ,50.4 ,56.7 ,3.5 ,246
2003,Kenny Lofton,- - -,610,.306,19.8 ,43.9 ,36.3 ,9.6 ,1.21,6.7 ,22,10.2 ,6,31.6 ,14.1 ,71.6 ,44.7 ,65.0 ,94.7 ,90.3 ,53.3 ,57.4 ,4.4 ,246
2004,Kevin Youkilis,Red Sox,248,.296,20.6 ,37.0 ,42.4 ,15.7 ,0.87,10.0 ,7,11.5 ,0,0.0 ,11.9 ,59.3 ,36.8 ,41.7 ,93.7 ,85.7 ,52.6 ,53.2 ,5.1 ,1935
2005,Juan Encarnacion,Marlins,563,.332,23.7 ,38.6 ,37.6 ,20.1 ,1.03,10.7 ,10,6.5 ,5,38.5 ,26.8 ,65.9 ,47.4 ,44.3 ,86.2 ,75.0 ,52.8 ,61.3 ,11.7 ,320
2004,Jeff DaVanon,Angels,337,.314,13.6 ,38.5 ,48.0 ,7.5 ,0.80,6.6 ,10,11.8 ,7,43.8 ,10.8 ,68.5 ,41.5 ,40.0 ,89.6 ,83.6 ,53.2 ,56.7 ,6.7 ,1440
2002,John Mabry,- - -,234,.291,19.3 ,40.9 ,39.8 ,10.0 ,1.03,15.7 ,5,6.9 ,0,0.0 ,19.6 ,78.8 ,52.6 ,40.0 ,82.3 ,75.3 ,55.7 ,56.0 ,12.9 ,1381
