Season,Name,Team,PA,BABIP,LD,GB,FB,IFFB,GB/FB,HR/FB,IFH,IFH,BUH,BUH,O-Swing,Z-Swing,Swing,O-Contact,Z-Contact,Contact,Zone,F-Strike,SwStr,playerid
2010,Jim Thome,Twins,340,.310,21.4 ,40.8 ,37.8 ,4.1 ,1.08,33.8 ,3,3.8 ,0,0.0 ,22.2 ,64.2 ,39.3 ,51.9 ,81.7 ,71.8 ,40.8 ,54.1 ,10.6 ,409
2012,Joey Votto,Reds,475,.404,30.2 ,37.8 ,32.0 ,1.1 ,1.18,15.1 ,4,3.6 ,0,0.0 ,21.2 ,62.3 ,38.2 ,70.0 ,85.7 ,80.5 ,41.3 ,54.3 ,6.9 ,4314
2009,Joe Mauer,Twins,606,.373,22.6 ,47.8 ,29.5 ,1.5 ,1.62,20.4 ,8,3.6 ,1,100.0 ,20.4 ,56.1 ,37.0 ,79.1 ,91.1 ,87.6 ,46.5 ,51.7 ,4.3 ,1857
2007,Magglio Ordonez,Tigers,679,.381,19.2 ,42.0 ,38.8 ,5.0 ,1.08,13.9 ,10,4.6 ,0,0.0 ,20.3 ,73.8 ,48.2 ,67.1 ,87.3 ,83.2 ,52.1 ,63.3 ,7.8 ,248
2010,Joey Votto,Reds,648,.361,20.0 ,45.2 ,34.8 ,0.0 ,1.30,25.0 ,5,2.6 ,0,0.0 ,29.9 ,72.9 ,47.9 ,69.4 ,82.4 ,77.7 ,41.8 ,58.0 ,10.4 ,4314
2011,Miguel Cabrera,Tigers,688,.365,22.1 ,44.1 ,33.8 ,5.5 ,1.30,18.2 ,9,4.2 ,0,0.0 ,32.5 ,75.3 ,49.6 ,75.9 ,86.6 ,82.4 ,40.0 ,58.6 ,8.2 ,1744
2006,Luke Scott,Astros,249,.383,24.4 ,36.0 ,39.5 ,7.4 ,0.91,14.7 ,4,6.5 ,0,0.0 ,19.9 ,76.1 ,47.0 ,48.9 ,87.2 ,78.8 ,48.3 ,55.0 ,9.7 ,3469
2006,Ryan Howard,Phillies,704,.356,21.9 ,41.9 ,36.2 ,3.4 ,1.16,39.5 ,9,5.3 ,0,0.0 ,25.6 ,70.2 ,46.3 ,35.2 ,81.1 ,67.5 ,46.3 ,55.3 ,14.0 ,2154
2006,Manny Ramirez,Red Sox,558,.341,22.3 ,35.8 ,42.0 ,5.4 ,0.85,23.5 ,5,3.9 ,0,0.0 ,21.6 ,70.0 ,44.4 ,53.7 ,87.0 ,78.5 ,47.1 ,57.5 ,9.3 ,210
2004,Jim Edmonds,Cardinals,612,.344,21.2 ,33.4 ,45.3 ,3.8 ,0.74,26.3 ,3,2.5 ,3,100.0 ,13.1 ,72.7 ,43.9 ,49.7 ,74.0 ,70.5 ,51.6 ,58.5 ,13.0 ,1153
2005,Alex Rodriguez,Yankees,715,.347,15.6 ,44.8 ,39.7 ,8.1 ,1.13,25.8 ,11,5.2 ,0,0.0 ,17.3 ,68.4 ,43.2 ,45.1 ,82.0 ,74.7 ,50.6 ,62.4 ,10.9 ,1274
2007,Chipper Jones,Braves,600,.348,19.2 ,43.6 ,37.2 ,3.6 ,1.17,17.6 ,9,4.7 ,0,0.0 ,17.8 ,70.4 ,42.8 ,63.3 ,87.1 ,81.9 ,47.6 ,57.2 ,7.5 ,97
2002,Larry Walker,Rockies,553,.353,23.4 ,44.1 ,32.5 ,10.6 ,1.36,19.7 ,8,4.5 ,2,100.0 ,16.9 ,74.7 ,47.4 ,33.6 ,84.7 ,76.1 ,52.8 ,59.0 ,11.2 ,455
2008,Manny Ramirez,- - -,654,.370,23.4 ,38.0 ,38.7 ,8.4 ,0.98,22.2 ,11,6.7 ,0,0.0 ,25.2 ,70.3 ,46.6 ,63.0 ,85.4 ,79.1 ,47.6 ,56.3 ,9.2 ,210
2005,Albert Pujols,Cardinals,700,.316,20.0 ,41.8 ,38.2 ,16.3 ,1.09,20.3 ,11,5.0 ,0,0.0 ,16.8 ,65.7 ,41.7 ,58.0 ,92.0 ,85.3 ,51.0 ,52.1 ,5.9 ,1177
2010,Miguel Cabrera,Tigers,648,.336,18.9 ,39.3 ,41.7 ,7.8 ,0.94,19.8 ,8,4.4 ,0,0.0 ,32.7 ,74.1 ,50.2 ,67.6 ,86.0 ,79.1 ,42.4 ,54.3 ,9.6 ,1744
