DATE,UNRATE,POP,PAYEMS,
10/1/68,3.4,201290,68720,
11/1/68,3.4,201466,68985,
12/1/68,3.4,201621,69245,
1/1/69,3.4,201760,69438,
2/1/69,3.4,201881,69698,
3/1/69,3.4,202023,69906,
4/1/69,3.4,202161,70072,
5/1/69,3.4,202331,70328,
6/1/69,3.5,202507,70636,
7/1/69,3.5,202677,70730,
8/1/69,3.5,202877,71005,
9/1/69,3.7,203090,70918,
10/1/69,3.7,203302,71119,
11/1/69,3.5,203500,71088,
12/1/69,3.5,203675,71240,
1/1/70,3.9,203849,71176,
2/1/70,4.2,204008,71302,
3/1/70,4.4,204156,71453,
4/1/70,4.6,204401,71348,
5/1/70,4.8,204607,71122,
6/1/70,4.9,204830,71028,
7/1/70,5,205052,71055,
8/1/70,5.1,205295,70932,
9/1/70,5.4,205540,70949,
10/1/70,5.5,205788,70519,
11/1/70,5.9,206024,70409,
12/1/70,6.1,206238,70790,
1/1/71,5.9,206466,70866,
2/1/71,5.9,206668,70805,
3/1/71,6,206855,70859,
4/1/71,5.9,207065,71037,
5/1/71,5.9,207260,71247,
6/1/71,5.9,207462,71253,
7/1/71,6,207661,71316,
8/1/71,6.1,207881,71368,
9/1/71,6,208114,71620,
10/1/71,5.8,208345,71642,
11/1/71,6,208555,71844,
12/1/71,6,208740,72108,
1/1/72,5.8,208917,72445,
2/1/72,5.7,209061,72652,
3/1/72,5.8,209212,72945,
4/1/72,5.7,209386,73163,
5/1/72,5.7,209545,73467,
6/1/72,5.7,209725,73760,
7/1/72,5.6,209896,73709,
8/1/72,5.6,210075,74137,
9/1/72,5.5,210278,74268,
10/1/72,5.6,210479,74672,
11/1/72,5.3,210656,74965,
12/1/72,5.2,210821,75270,
1/1/73,4.9,210985,75620,
2/1/73,5,211120,76017,
3/1/73,4.9,211254,76286,
4/1/73,5,211420,76456,
5/1/73,4.9,211577,76646,
6/1/73,4.9,211746,76886,
7/1/73,4.8,211909,76911,
8/1/73,4.8,212092,77166,
9/1/73,4.8,212289,77281,
10/1/73,4.6,212475,77605,
11/1/73,4.8,212634,77909,
12/1/73,4.9,212785,78035,
1/1/74,5.1,212932,78104,
2/1/74,5.2,213074,78253,
3/1/74,5.1,213211,78295,
4/1/74,5.1,213361,78384,
5/1/74,5.1,213513,78547,
6/1/74,5.4,213686,78602,
7/1/74,5.5,213854,78634,
8/1/74,5.5,214042,78619,
9/1/74,5.9,214246,78614,
10/1/74,6,214451,78627,
11/1/74,6.6,214625,78259,
12/1/74,7.2,214782,77657,
1/1/75,8.1,214931,77297,
2/1/75,8.1,215065,76919,
3/1/75,8.6,215198,76649,
4/1/75,8.8,215353,76463,
5/1/75,9,215523,76623,
6/1/75,8.8,215768,76519,
7/1/75,8.6,215973,76768,
8/1/75,8.4,216195,77154,
9/1/75,8.4,216393,77232,
10/1/75,8.4,216587,77535,
11/1/75,8.3,216771,77679,
12/1/75,8.2,216931,78017,
1/1/76,7.9,217095,78506,
2/1/76,7.7,217249,78817,
3/1/76,7.6,217381,79049,
4/1/76,7.7,217528,79293,
5/1/76,7.4,217685,79311,
6/1/76,7.6,217861,79376,
7/1/76,7.8,218035,79546,
8/1/76,7.8,218233,79704,
9/1/76,7.6,218440,79892,
10/1/76,7.7,218644,79905,
11/1/76,7.8,218834,80237,
12/1/76,7.8,219006,80448,
1/1/77,7.5,219179,80692,
2/1/77,7.6,219344,80987,
3/1/77,7.4,219504,81391,
4/1/77,7.2,219684,81730,
5/1/77,7,219859,82089,
6/1/77,7.2,220046,82488,
7/1/77,6.9,220239,82836,
8/1/77,7,220458,83074,
9/1/77,6.8,220688,83532,
10/1/77,6.8,220904,83794,
11/1/77,6.8,221109,84173,
12/1/77,6.4,221303,84408,
1/1/78,6.4,221477,84595,
2/1/78,6.3,221629,84948,
3/1/78,6.3,221792,85461,
4/1/78,6.1,221991,86163,
5/1/78,6,222176,86509,
6/1/78,5.9,222379,86951,
7/1/78,6.2,222585,87205,
8/1/78,5.9,222805,87481,
9/1/78,6,223053,87618,
10/1/78,5.8,223271,87954,
11/1/78,5.9,223477,88391,
12/1/78,6,223670,88674,
